movie_id,person_id,role
0111161,0001104,Director
0111161,0000175,Writer
0111161,0001104,Writer
0068646,0000338,Director
0068646,0701374,Writer
0068646,0000338,Writer
0468569,0634240,Director
0468569,0634300,Writer
0468569,0634240,Writer
0468569,0275286,Writer
0071562,0000338,Director
0071562,0000338,Writer
0071562,0701374,Writer
0050083,0001486,Director
0050083,0741627,Writer
0108052,0000229,Director
0108052,0447745,Writer
0108052,0001873,Writer
0167260,0001392,Director
0167260,0866058,Writer
0167260,0909638,Writer
0167260,0101991,Writer
0110912,0000233,Director
0110912,0000233,Writer
0110912,0000812,Writer
0120737,0001392,Director
0120737,0866058,Writer
0120737,0909638,Writer
0120737,0101991,Writer
0060196,0001466,Director
0060196,0898812,Writer
0060196,0001466,Writer
0060196,0408488,Writer
0109830,0000709,Director
0109830,0343165,Writer
0109830,0744839,Writer
0137523,0000399,Director
0137523,0657333,Writer
0137523,0880243,Writer
0167261,0001392,Director
0167261,0866058,Writer
0167261,0909638,Writer
0167261,0101991,Writer
1375666,0634240,Director
1375666,0634240,Writer
0080684,0449984,Director
0080684,0102824,Writer
0080684,0001410,Writer
0080684,0000184,Writer
0133093,0905154,Director
0133093,0905152,Director
0133093,0905152,Writer
0133093,0905154,Writer
0099685,0000217,Director
0099685,0683380,Writer
0099685,0000217,Writer
0073486,0001232,Director
0073486,0369142,Writer
0073486,0325743,Writer
0073486,0450181,Writer
0114369,0000399,Director
0114369,0001825,Writer
0038650,0001008,Director
0038650,0329304,Writer
0038650,0352443,Writer
0038650,0001008,Writer
0047478,0000041,Director
0047478,0000041,Writer
0047478,0368074,Writer
0047478,0644823,Writer
0102926,0001129,Director
0102926,0365383,Writer
0102926,0848217,Writer
0120815,0000229,Director
0120815,0734441,Writer
0317248,0576987,Director
0317248,0526199,Director
0317248,0513130,Writer
0317248,1130251,Writer
0816692,0634240,Director
0816692,0634300,Writer
0816692,0634240,Writer
0118799,0000905,Director
0118799,0148437,Writer
0118799,0000905,Writer
0120689,0001104,Director
0120689,0000175,Writer
0120689,0001104,Writer
0076759,0000184,Director
0076759,0000184,Writer
0103064,0000116,Director
0103064,0000116,Writer
0103064,0936537,Writer
0088763,0000709,Director
0088763,0000709,Writer
0088763,0301826,Writer
0245429,0594503,Director
0245429,0594503,Writer
0253474,0000591,Director
0253474,0367838,Writer
0253474,0844262,Writer
0054215,0000033,Director
0054215,0825010,Writer
0054215,0088645,Writer
6751668,0094435,Director
6751668,0094435,Writer
6751668,8243301,Writer
0110413,0000108,Director
0110413,0000108,Writer
0110357,0021249,Director
0110357,0591450,Director
0110357,0575293,Writer
0110357,0731271,Writer
0110357,0941314,Writer
0172495,0000631,Director
0172495,0291905,Writer
0172495,0517589,Writer
0172495,0629933,Writer
0120586,0443411,Director
0120586,0571346,Writer
0407887,0000217,Director
0407887,1184258,Writer
0407887,0538320,Writer
0407887,0159039,Writer
2582802,3227090,Director
2582802,3227090,Writer
0482571,0634240,Director
0482571,0634300,Writer
0482571,0634240,Writer
0482571,1793993,Writer
0114814,0001741,Director
0114814,0003160,Writer
0034583,0002031,Director
0034583,0258493,Writer
0034583,0258525,Writer
0034583,0462321,Writer
0095327,0847223,Director
0095327,0636435,Writer
0095327,0847223,Writer
0056058,0462030,Director
0056058,0847668,Writer
0056058,0368074,Writer
1675434,0619923,Director
1675434,0865918,Director
1675434,0619923,Writer
1675434,0865918,Writer
1675434,4778840,Writer
0027977,0000122,Director
0027977,0000122,Writer
0064116,0001466,Director
0064116,0006872,Writer
0064116,0001466,Writer
0064116,0000783,Writer
0095765,0868153,Director
0095765,0868153,Writer
0095765,0660031,Writer
0047396,0000033,Director
0047396,0371088,Writer
0047396,0941280,Writer
0078748,0000631,Director
0078748,0639321,Writer
0078748,0795953,Writer
0021749,0000122,Director
0021749,0000122,Writer
0021749,0139714,Writer
0021749,0188357,Writer
0078788,0000338,Director
0078788,0587518,Writer
0078788,0000338,Writer
0078788,0380282,Writer
0209144,0634240,Director
0209144,0634240,Writer
0209144,0634300,Writer
1853728,0000233,Director
1853728,0000233,Writer
0082971,0000229,Director
0082971,0001410,Writer
0082971,0000184,Writer
0082971,0442241,Writer
0910970,0004056,Director
0910970,0004056,Writer
0910970,0230032,Writer
0910970,0714114,Writer
0405094,0003697,Director
0405094,0003697,Writer
0043014,0000697,Director
0043014,0102818,Writer
0043014,0000697,Writer
0043014,0551261,Writer
0050825,0000040,Director
0050825,0000040,Writer
0050825,0932229,Writer
0050825,0860292,Writer
0081505,0000040,Director
0081505,0000175,Writer
0081505,0000040,Writer
0081505,0424956,Writer
0032553,0000122,Director
0032553,0000122,Writer
4154756,0751577,Director
4154756,0751648,Director
4154756,1321655,Writer
4154756,1321656,Writer
4154756,0498278,Writer
0051201,0000697,Director
0051201,0002005,Writer
0051201,0000697,Writer
0051201,0475823,Writer
0090605,0000116,Director
0090605,0000116,Writer
0090605,0318429,Writer
0090605,0001353,Writer
4633694,2130108,Director
4633694,0709056,Director
4633694,0745247,Director
4633694,0520488,Writer
4633694,0745247,Writer
0169547,0005222,Director
0169547,0050332,Writer
0057012,0000040,Director
0057012,0000040,Writer
0057012,0816143,Writer
0057012,0313570,Writer
1345836,0634240,Director
1345836,0634300,Writer
1345836,0634240,Writer
1345836,0275286,Writer
0361748,0000233,Director
0361748,0000233,Writer
0364569,0661791,Director
0364569,1628380,Writer
0364569,2057405,Writer
0364569,0661791,Writer
0086879,0001232,Director
0086879,0787323,Writer
0086879,0537004,Writer
2380307,0881279,Director
2380307,2937122,Director
2380307,0881279,Writer
2380307,0441735,Writer
2380307,0017690,Writer
0114709,0005124,Director
0114709,0005124,Writer
0114709,0230032,Writer
0114709,0004056,Writer
0112573,0000154,Director
0112573,0908824,Writer
7286456,0680846,Director
7286456,0680846,Writer
7286456,0798788,Writer
7286456,0004170,Writer
0082096,0000583,Director
0082096,0000583,Writer
0082096,0118164,Writer
4154796,0751577,Director
4154796,0751648,Director
4154796,1321655,Writer
4154796,1321656,Writer
4154796,0498278,Writer
0119698,0594503,Director
0119698,0594503,Writer
0119698,0301274,Writer
0119217,0001814,Director
0119217,0000354,Writer
0119217,0000255,Writer
0087843,0001466,Director
0087843,0340580,Writer
0087843,0073053,Writer
0087843,0207401,Writer
5311514,1396121,Director
5311514,1396121,Writer
5311514,1038805,Writer
0045152,0002045,Director
0045152,0000037,Director
0045152,0173679,Writer
0045152,0337582,Writer
1187043,0386246,Director
1187043,0430785,Writer
1187043,0386246,Writer
1187043,0006765,Writer
0180093,0004716,Director
0180093,0782968,Writer
0180093,0004716,Writer
0057565,0000041,Director
0057565,0644823,Writer
0057565,0452878,Writer
0057565,0386750,Writer
0435761,0881279,Director
0435761,0005124,Writer
0435761,0004056,Writer
0435761,0881279,Writer
8267604,1701024,Director
8267604,1701024,Writer
8267604,2764802,Writer
8267604,9878616,Writer
0086190,0549658,Director
0086190,0001410,Writer
0086190,0000184,Writer
0062622,0000040,Director
0062622,0000040,Writer
0062622,0002009,Writer
0338013,0327273,Director
0338013,0442109,Writer
0338013,0327273,Writer
0338013,1410028,Writer
0091251,0459552,Director
0091251,0010696,Writer
0091251,0459552,Writer
0105236,0000233,Director
0105236,0000233,Writer
0105236,0000812,Writer
2106476,0899121,Director
2106476,0899121,Writer
2106476,2105585,Writer
0056172,0000180,Director
0056172,0004122,Writer
0056172,0933858,Writer
0033467,0000080,Director
0033467,0542534,Writer
0033467,0000080,Writer
0033467,0002144,Writer
0022100,0000485,Director
0022100,0902376,Writer
0022100,0000485,Writer
0022100,0414825,Writer
0044741,0000041,Director
0044741,0000041,Writer
0044741,0368074,Writer
0044741,0644823,Writer
0053125,0000033,Director
0053125,0499626,Writer
0052357,0000033,Director
0052357,0178785,Writer
0052357,0853138,Writer
0052357,0092267,Writer
0053604,0000697,Director
0053604,0000697,Writer
0053604,0224634,Writer
0211915,0000466,Director
0211915,0491011,Writer
0211915,0000466,Writer
0036775,0000697,Director
0036775,0000697,Writer
0036775,0151452,Writer
0036775,0128906,Writer
0066921,0000040,Director
0066921,0000040,Writer
0066921,0121256,Writer
0093058,0000040,Director
0093058,0000040,Writer
0093058,0380282,Writer
0093058,0368007,Writer
0086250,0000361,Director
0086250,0000231,Writer
0086250,0001328,Writer
0086250,0372942,Writer
8503618,2371802,Director
8503618,0592135,Writer
8503618,2375857,Writer
1255953,0898288,Director
1255953,0898288,Writer
1255953,1416431,Writer
1255953,4034068,Writer
0113277,0000520,Director
0113277,0000520,Writer
0056592,0612322,Director
0056592,0497369,Writer
0056592,0285210,Writer
1049413,0230032,Director
1049413,0677037,Director
1049413,0230032,Writer
1049413,0677037,Writer
1049413,0565336,Writer
0070735,0001351,Director
0070735,0911486,Writer
1832382,1410815,Director
1832382,1410815,Writer
0017136,0000485,Director
0017136,0902376,Writer
0017136,0000485,Writer
0119488,0000436,Director
0119488,0255278,Writer
0119488,0001338,Writer
0119488,0000436,Writer
0095016,0001532,Director
0095016,0861636,Writer
0095016,0835732,Writer
0095016,0211823,Writer
0075314,0000217,Director
0075314,0001707,Writer
0097576,0000229,Director
0097576,0090151,Writer
0097576,0000184,Writer
0097576,0583675,Writer
0208092,0005363,Director
0208092,0005363,Writer
0040522,0001120,Director
