genre,movie_id
Drama,0111161
Crime,0068646
Drama,0068646
Action,0468569
Crime,0468569
Drama,0468569
Crime,0071562
Drama,0071562
Crime,0050083
Drama,0050083
Biography,0108052
Drama,0108052
History,0108052
Action,0167260
Adventure,0167260
Drama,0167260
Crime,0110912
Drama,0110912
Action,0120737
Adventure,0120737
Drama,0120737
Adventure,0060196
Western,0060196
Drama,0109830
Romance,0109830
Drama,0137523
Action,0167261
Adventure,0167261
Drama,0167261
Action,1375666
Adventure,1375666
Sci-Fi,1375666
Action,0080684
Adventure,0080684
Fantasy,0080684
Action,0133093
Sci-Fi,0133093
Biography,0099685
Crime,0099685
Drama,0099685
Drama,0073486
Crime,0114369
Drama,0114369
Mystery,0114369
Drama,0038650
Family,0038650
Fantasy,0038650
Action,0047478
Drama,0047478
Crime,0102926
Drama,0102926
Thriller,0102926
Drama,0120815
War,0120815
Crime,0317248
Drama,0317248
Adventure,0816692
Drama,0816692
Sci-Fi,0816692
Comedy,0118799
Drama,0118799
Romance,0118799
Crime,0120689
Drama,0120689
Fantasy,0120689
Action,0076759
Adventure,0076759
Fantasy,0076759
Action,0103064
Sci-Fi,0103064
Adventure,0088763
Comedy,0088763
Sci-Fi,0088763
Animation,0245429
Adventure,0245429
Family,0245429
Biography,0253474
Drama,0253474
Music,0253474
Horror,0054215
Mystery,0054215
Thriller,0054215
Drama,6751668
Thriller,6751668
Action,0110413
Crime,0110413
Drama,0110413
Animation,0110357
Adventure,0110357
Drama,0110357
Action,0172495
Adventure,0172495
Drama,0172495
Crime,0120586
Drama,0120586
Crime,0407887
Drama,0407887
Thriller,0407887
Drama,2582802
Music,2582802
Drama,0482571
Mystery,0482571
Sci-Fi,0482571
Crime,0114814
Drama,0114814
Mystery,0114814
Drama,0034583
Romance,0034583
War,0034583
Animation,0095327
Drama,0095327
War,0095327
Action,0056058
Drama,0056058
Mystery,0056058
Biography,1675434
Comedy,1675434
Drama,1675434
Comedy,0027977
Drama,0027977
Romance,0027977
Western,0064116
Drama,0095765
Romance,0095765
Mystery,0047396
Thriller,0047396
Horror,0078748
Sci-Fi,0078748
Comedy,0021749
Drama,0021749
Romance,0021749
Drama,0078788
Mystery,0078788
War,0078788
Mystery,0209144
Thriller,0209144
Drama,1853728
Western,1853728
Action,0082971
Adventure,0082971
Animation,0910970
Adventure,0910970
Family,0910970
Drama,0405094
Mystery,0405094
Thriller,0405094
Drama,0043014
Film-Noir,0043014
Drama,0050825
War,0050825
Drama,0081505
Horror,0081505
Comedy,0032553
Drama,0032553
War,0032553
Action,4154756
Adventure,4154756
Sci-Fi,4154756
Crime,0051201
Drama,0051201
Mystery,0051201
Action,0090605
Adventure,0090605
Sci-Fi,0090605
Animation,4633694
Action,4633694
Adventure,4633694
Drama,0169547
Comedy,0057012
War,0057012
Action,1345836
Drama,1345836
Thriller,1345836
Adventure,0361748
Drama,0361748
War,0361748
Action,0364569
Drama,0364569
Mystery,0364569
Biography,0086879
Drama,0086879
Music,0086879
Animation,2380307
Adventure,2380307
Comedy,2380307
Animation,0114709
Adventure,0114709
Comedy,0114709
Biography,0112573
Drama,0112573
History,0112573
Crime,7286456
Drama,7286456
Thriller,7286456
Drama,0082096
War,0082096
Action,4154796
Adventure,4154796
Drama,4154796
Animation,0119698
Action,0119698
Adventure,0119698
Drama,0119217
Romance,0119217
Crime,0087843
Drama,0087843
Animation,5311514
Drama,5311514
Fantasy,5311514
Comedy,0045152
Musical,0045152
Romance,0045152
Comedy,1187043
Drama,1187043
Drama,0180093
Crime,0057565
Drama,0057565
Mystery,0057565
Animation,0435761
Adventure,0435761
Comedy,0435761
Drama,8267604
Action,0086190
Adventure,0086190
Fantasy,0086190
Adventure,0062622
Sci-Fi,0062622
Drama,0338013
Romance,0338013
Sci-Fi,0338013
Drama,0091251
Thriller,0091251
War,0091251
Crime,0105236
Thriller,0105236
Drama,2106476
Adventure,0056172
Biography,0056172
Drama,0056172
Drama,0033467
Mystery,0033467
Crime,0022100
Mystery,0022100
Thriller,0022100
Drama,0044741
Action,0053125
Adventure,0053125
Mystery,0053125
Mystery,0052357
Romance,0052357
Thriller,0052357
Comedy,0053604
Drama,0053604
Romance,0053604
Comedy,0211915
Romance,0211915
Crime,0036775
Drama,0036775
Film-Noir,0036775
Crime,0066921
Sci-Fi,0066921
Drama,0093058
War,0093058
Crime,0086250
Drama,0086250
Biography,8503618
Drama,8503618
History,8503618
Drama,1255953
Mystery,1255953
Action,0113277
Crime,0113277
Drama,0113277
Crime,0056592
Drama,0056592
Animation,1049413
Adventure,1049413
Comedy,1049413
Comedy,0070735
Crime,0070735
Drama,0070735
Drama,1832382
Drama,0017136
Sci-Fi,0017136
Crime,0119488
Drama,0119488
Mystery,0119488
Action,0095016
Thriller,0095016
Crime,0075314
Drama,0075314
Action,0097576
Adventure,0097576
Comedy,0208092
Crime,0208092
Drama,0040522
Drama,0986264
Family,0986264
Action,8579674
Drama,8579674
War,8579674
Action,1745960
Drama,1745960
Biography,0363163
Drama,0363163
History,0363163
Action,5074352
Biography,5074352
Drama,5074352
Drama,0059578
Western,0059578
Action,0372784
Crime,0372784
Drama,0372784
Comedy,0012349
Drama,0012349
Family,0012349
Comedy,0053291
Music,0053291
