person_id,name
0001104,Frank Darabont
0000175,Stephen King
0000209,Tim Robbins
0000151,Morgan Freeman
0348409,Bob Gunton
0000338,Francis Ford Coppola
0701374,Mario Puzo
0000008,Marlon Brando
0000199,Al Pacino
0001001,James Caan
0634240,Christopher Nolan
0634300,Jonathan Nolan
0275286,David S. Goyer
0000288,Christian Bale
0005132,Heath Ledger
0001173,Aaron Eckhart
0000134,Robert De Niro
0000380,Robert Duvall
0001486,Sidney Lumet
0741627,Reginald Rose
0000020,Henry Fonda
0002011,Lee J. Cobb
0000842,Martin Balsam
0000229,Steven Spielberg
0447745,Thomas Keneally
0001873,Steven Zaillian
0000553,Liam Neeson
0000146,Ralph Fiennes
0001426,Ben Kingsley
0001392,Peter Jackson
0866058,J.R.R. Tolkien
0909638,Fran Walsh
0101991,Philippa Boyens
0000704,Elijah Wood
0001557,Viggo Mortensen
0005212,Ian McKellen
0000233,Quentin Tarantino
0000812,Roger Avary
0000237,John Travolta
0000235,Uma Thurman
0000168,Samuel L. Jackson
0089217,Orlando Bloom
0001466,Sergio Leone
0898812,Luciano Vincenzoni
0408488,Agenore Incrocci
0000142,Clint Eastwood
0908919,Eli Wallach
0001812,Lee Van Cleef
0000709,Robert Zemeckis
0343165,Winston Groom
0744839,Eric Roth
0000158,Tom Hanks
0000705,Robin Wright
0000641,Gary Sinise
0000399,David Fincher
0657333,Chuck Palahniuk
0880243,Jim Uhls
0000093,Brad Pitt
0001570,Edward Norton
0001533,Meat Loaf
0000138,Leonardo DiCaprio
0330687,Joseph Gordon-Levitt
0680983,Elliot Page
0449984,Irvin Kershner
0102824,Leigh Brackett
0001410,Lawrence Kasdan
0000184,George Lucas
0000434,Mark Hamill
0000148,Harrison Ford
0000402,Carrie Fisher
0905154,Lana Wachowski
0905152,Lilly Wachowski
0000206,Keanu Reeves
0000401,Laurence Fishburne
0005251,Carrie-Anne Moss
0000217,Martin Scorsese
0683380,Nicholas Pileggi
0000501,Ray Liotta
0000582,Joe Pesci
0001232,Milos Forman
0369142,Lawrence Hauben
0325743,Bo Goldman
0450181,Ken Kesey
0000197,Jack Nicholson
0001221,Louise Fletcher
0077720,Michael Berryman
0001825,Andrew Kevin Walker
0000228,Kevin Spacey
0001008,Frank Capra
0329304,Frances Goodrich
0352443,Albert Hackett
0000071,James Stewart
0001656,Donna Reed
0000859,Lionel Barrymore
0000041,Akira Kurosawa
0368074,Shinobu Hashimoto
0644823,Hideo Oguni
0001536,Toshirô Mifune
0793766,Takashi Shimura
0875477,Keiko Tsushima
0001129,Jonathan Demme
0365383,Thomas Harris
0848217,Ted Tally
0000149,Jodie Foster
0000164,Anthony Hopkins
0095029,Lawrence A. Bonney
0734441,Robert Rodat
0000354,Matt Damon
0001744,Tom Sizemore
0576987,Fernando Meirelles
0526199,Kátia Lund
0513130,Paulo Lins
1130251,Bráulio Mantovani
1179105,Alexandre Rodrigues
1129884,Leandro Firmino
0618690,Matheus Nachtergaele
0000190,Matthew McConaughey
0004266,Anne Hathaway
1567113,Jessica Chastain
0000905,Roberto Benigni
0148437,Vincenzo Cerami
0000971,Nicoletta Braschi
0134493,Giorgio Cantarini
0003817,Michael Clarke Duncan
0001556,David Morse
0000116,James Cameron
0936537,William Wisher
0000216,Arnold Schwarzenegger
0000157,Linda Hamilton
0000411,Edward Furlong
0301826,Bob Gale
0000150,Michael J. Fox
0000502,Christopher Lloyd
0000670,Lea Thompson
0594503,Hayao Miyazaki
0153738,Daveigh Chase
0687189,Suzanne Pleshette
0997115,Miyu Irino
0000591,Roman Polanski
0367838,Ronald Harwood
0844262,Wladyslaw Szpilman
0004778,Adrien Brody
0470981,Thomas Kretschmann
0277975,Frank Finlay
0000033,Alfred Hitchcock
0825010,Joseph Stefano
0088645,Robert Bloch
0000578,Anthony Perkins
0001463,Janet Leigh
0587256,Vera Miles
0094435,Bong Joon Ho
8243301,Han Jin-won
0814280,Song Kang-ho
1310525,Lee Sun-kyun
1856097,Cho Yeo-jeong
0000108,Luc Besson
0000606,Jean Reno
0000198,Gary Oldman
0000204,Natalie Portman
0021249,Roger Allers
0591450,Rob Minkoff
0575293,Irene Mecchi
0731271,Jonathan Roberts
0941314,Linda Woolverton
0000111,Matthew Broderick
0000460,Jeremy Irons
0000469,James Earl Jones
0000631,Ridley Scott
0291905,David Franzoni
0517589,John Logan
0629933,William Nicholson
0000128,Russell Crowe
0001618,Joaquin Phoenix
0001567,Connie Nielsen
0443411,Tony Kaye
0571346,David McKenna
0000350,Beverly D'Angelo
1184258,William Monahan
0538320,Alan Mak
0159039,Felix Chong
3227090,Damien Chazelle
1886602,Miles Teller
0799777,J.K. Simmons
2552034,Melissa Benoist
1793993,Christopher Priest
0413168,Hugh Jackman
0424060,Scarlett Johansson
0001741,Bryan Singer
0003160,Christopher McQuarrie
0000321,Gabriel Byrne
0001590,Chazz Palminteri
0002031,Michael Curtiz
0258493,Julius J. Epstein
0258525,Philip G. Epstein
0462321,Howard Koch
0000007,Humphrey Bogart
0000006,Ingrid Bergman
0002134,Paul Henreid
0847223,Isao Takahata
0636435,Akiyuki Nosaka
0851302,Tsutomu Tatsumi
0794186,Ayano Shiraishi
0945312,Akemi Yamaguchi
0462030,Masaki Kobayashi
0847668,Yasuhiko Takiguchi
0619938,Tatsuya Nakadai
0410968,Akira Ishihama
0412615,Shima Iwashita
0619923,Olivier Nakache
0865918,Éric Toledano
4778840,Philippe Pozzo di Borgo
0167388,François Cluzet
1082477,Omar Sy
0494504,Anne Le Ny
0000122,Charles Chaplin
0002104,Paulette Goddard
0074788,Henry Bergman
0006872,Sergio Donati
0000783,Dario Argento
0000314,Charles Bronson
0001012,Claudia Cardinale
0868153,Giuseppe Tornatore
0660031,Vanna Paoli
0634159,Philippe Noiret
0134073,Enzo Cannavale
0041066,Antonella Attili
0371088,John Michael Hayes
0941280,Cornell Woolrich
0000038,Grace Kelly
0179819,Wendell Corey
0639321,Dan O'Bannon
0795953,Ronald Shusett
0000244,Sigourney Weaver
0000643,Tom Skerritt
0000457,John Hurt
0139714,Harry Carr
0188357,Harry Crocker
0156039,Virginia Cherrill
5681967,Florence Lee
0587518,John Milius
0380282,Michael Herr
0000640,Martin Sheen
0001602,Guy Pearce
0001592,Joe Pantoliano
0004937,Jamie Foxx
0910607,Christoph Waltz
0442241,Philip Kaufman
0000261,Karen Allen
0293550,Paul Freeman
0004056,Andrew Stanton
0230032,Pete Docter
0714114,Jim Reardon
0123785,Ben Burtt
2264184,Elissa Knight
0307531,Jeff Garlin
0003697,Florian Henckel von Donnersmarck
0618057,Ulrich Mühe
0311476,Martina Gedeck
0462407,Sebastian Koch
0000697,Billy Wilder
0102818,Charles Brackett
0551261,D.M. Marshman Jr.
0000034,William Holden
0841797,Gloria Swanson
0002233,Erich von Stroheim
0000040,Stanley Kubrick
0932229,Calder Willingham
0860292,Jim Thompson
0000018,Kirk Douglas
0576127,Ralph Meeker
0579663,Adolphe Menjou
0424956,Diane Johnson
0001167,Shelley Duvall
0515950,Danny Lloyd
0642988,Jack Oakie
0751577,Anthony Russo
0751648,Joe Russo
1321655,Christopher Markus
1321656,Stephen McFeely
0498278,Stan Lee
0000375,Robert Downey Jr.
1165110,Chris Hemsworth
0749263,Mark Ruffalo
0002005,Agatha Christie
0475823,Harry Kurnitz
0000061,Tyrone Power
0000017,Marlene Dietrich
0001452,Charles Laughton
0318429,David Giler
0001353,Walter Hill
0000299,Michael Biehn
0001343,Carrie Henn
2130108,Bob Persichetti
0709056,Peter Ramsey
0745247,Rodney Rothman
0520488,Phil Lord
4271336,Shameik Moore
2159926,Jake Johnson
2794962,Hailee Steinfeld
0005222,Sam Mendes
0050332,Alan Ball
0000906,Annette Bening
0000301,Thora Birch
0816143,Terry Southern
0313570,Peter George
0000634,Peter Sellers
0001715,George C. Scott
0001330,Sterling Hayden
0362766,Tom Hardy
0661791,Park Chan-wook
1628380,Garon Tsuchiya
2057405,Nobuaki Minegishi
0158856,Choi Min-sik
0949167,Yoo Ji-tae
1367246,Kang Hye-jeong
1208167,Diane Kruger
0744834,Eli Roth
0787323,Peter Shaffer
0537004,Zdenek Mahler
0000719,F. Murray Abraham
0001371,Tom Hulce
0000931,Elizabeth Berridge
0881279,Lee Unkrich
2937122,Adrian Molina
0441735,Jason Katz
0017690,Matthew Aldrich
5645519,Anthony Gonzalez
0305558,Gael García Bernal
0000973,Benjamin Bratt
0005124,John Lasseter
0000741,Tim Allen
0725543,Don Rickles
0000154,Mel Gibson
0908824,Randall Wallace
0000521,Sophie Marceau
0001526,Patrick McGoohan
0680846,Todd Phillips
0798788,Scott Silver
0004170,Bob Kane
5939164,Zazie Beetz
0000583,Wolfgang Petersen
0118164,Lothar G. Buchheim
0001638,Jürgen Prochnow
0344963,Herbert Grönemeyer
0921044,Klaus Wennemann
0262635,Chris Evans
0301274,Neil Gaiman
0559444,Yôji Matsuda
0410942,Yuriko Ishida
0849100,Yûko Tanaka
0001814,Gus Van Sant
0000255,Ben Affleck
0000245,Robin Williams
0340580,Harry Grey
0073053,Leonardo Benvenuti
0207401,Piero De Bernardi
0000249,James Woods
0001527,Elizabeth McGovern
1396121,Makoto Shinkai
1038805,Clark Cheng
1126340,Ryunosuke Kamiki
4759838,Mone Kamishiraishi
6954008,Ryo Narita
0002045,Stanley Donen
0000037,Gene Kelly
0173679,Betty Comden
0337582,Adolph Green
0640307,Donald O'Connor
